method,layout_index,in_sample,gap_bin,gap_percent,n_candidates,tolerance,classification,numerically_agreed,dop_agreed,rk4_agreed,single_control_ok,single_exact_max_error,dop_position_delta,dop_distance_delta,metric_grid_distance_delta,rk4_last_position_delta,rk4_last_distance_delta,rk4_vs_dop_position_delta,rk4_vs_dop_distance_delta,dop_tight_success,dop_tight_worst_distance,rk4_coarsest_steps,rk4_highest_steps,rk4_coarsest_worst_distance,rk4_high_worst_distance,error
analytic_single,15,True,≥10%,14.562346224132924,1,0.05,PASS_STABLE,True,True,True,True,1.8209011484034673e-15,0.0,0.0,0.0,9.251396602225214e-05,7.786328558769502e-05,1.7790958021751787e-05,3.8194530964738554e-05,True,1.6653345369377348e-15,1000,8000,0.0003597076309833829,3.819453096502833e-05,
analytic_single,28,True,≥10%,14.358814176609716,1,0.02,PASS_STABLE,True,True,True,True,1.012983452169639e-15,0.0,0.0,0.0,7.027639985931833e-05,4.499496810070615e-05,3.7335358566195074e-05,3.535416190707895e-05,True,9.036560719766055e-16,1000,8000,0.00027197027773340253,3.535416190739297e-05,
analytic_single,28,True,≥10%,14.358814176609716,1,0.05,PASS_STABLE,True,True,True,True,1.012983452169639e-15,0.0,0.0,0.0,7.027639985931833e-05,4.499496810070615e-05,3.7335358566195074e-05,3.535416190707895e-05,True,9.036560719766055e-16,1000,8000,0.00027197027773340253,3.535416190739297e-05,
analytic_single,40,True,5–<10%,8.322516803716281,1,0.02,PASS_STABLE,True,True,True,True,1.3334236103572998e-15,0.0,0.0,0.0,4.4895260972721945e-05,4.757671452405249e-05,3.575428713785616e-05,4.6400255997025034e-05,True,1.1102230246251565e-15,1000,8000,0.00013071753419613956,4.6400255997429163e-05,
analytic_single,40,True,5–<10%,8.322516803716281,1,0.05,PASS_STABLE,True,True,True,True,1.3334236103572998e-15,0.0,0.0,0.0,4.4895260972721945e-05,4.757671452405249e-05,3.575428713785616e-05,4.6400255997025034e-05,True,1.1102230246251565e-15,1000,8000,0.00013071753419613956,4.6400255997429163e-05,
analytic_single,43,True,<1%,0.7855193616940298,3,0.02,PASS_STABLE,True,True,True,True,1.3788683915077173e-15,0.0,0.0,0.0,0.00011790215347624686,0.00010468168760133562,7.350806174263588e-05,6.842796985553522e-05,True,1.0053497077208614e-15,1000,8000,0.000634871133696832,6.842796985654058e-05,
analytic_single,43,True,<1%,0.7855193616940298,3,0.05,PASS_STABLE,True,True,True,True,1.3788683915077173e-15,0.0,0.0,0.0,0.00011790215347624686,0.00010468168760133562,7.350806174263588e-05,6.842796985553522e-05,True,1.0053497077208614e-15,1000,8000,0.000634871133696832,6.842796985654058e-05,
analytic_single,45,True,≥10%,15.652808162483561,1,0.02,PASS_STABLE,True,True,True,True,1.916542091876757e-15,0.0,0.0,0.0,7.995175833548484e-05,2.5297185278975737e-05,1.2777304551270802e-05,2.081163275838415e-05,True,1.807312143953211e-15,1000,8000,0.00011565185022884774,2.0811632758550683e-05,
analytic_single,45,True,≥10%,15.652808162483561,1,0.05,PASS_STABLE,True,True,True,True,1.916542091876757e-15,0.0,0.0,0.0,7.995175833548484e-05,2.5297185278975737e-05,1.2777304551270802e-05,2.081163275838415e-05,True,1.807312143953211e-15,1000,8000,0.00011565185022884774,2.0811632758550683e-05,
analytic_single,47,True,5–<10%,7.534490595084735,1,0.02,PASS_STABLE,True,True,True,True,9.305364597889227e-16,0.0,0.0,0.0,7.97798825373174e-05,1.2800969574959273e-05,5.344032123011387e-05,6.592518263509711e-05,True,6.866350197783356e-16,1000,8000,0.00027019820744337414,6.592518263531916e-05,
analytic_single,47,True,5–<10%,7.534490595084735,1,0.05,PASS_STABLE,True,True,True,True,9.305364597889227e-16,0.0,0.0,0.0,7.97798825373174e-05,1.2800969574959273e-05,5.344032123011387e-05,6.592518263509711e-05,True,6.866350197783356e-16,1000,8000,0.00027019820744337414,6.592518263531916e-05,
analytic_single,80,True,≥10%,10.05079756005045,1,0.02,PASS_STABLE,True,True,True,True,1.793620188084545e-15,0.0,0.0,0.0,0.000128948581292881,7.784437890378988e-05,3.362618428342245e-05,4.1579612548972546e-05,True,1.395804689683384e-15,1000,8000,0.00047611379805069303,4.157961254957042e-05,
