method,layout_index,gap_bin,initial_sigma,tolerance,first_visit_order,count
analytic_multi,870,≥10%,0.01,0.02,4→2→3→1,20
analytic_multi,870,≥10%,0.01,0.05,4→2→3→1,20
analytic_multi,870,≥10%,0.05,0.05,4→2→3→1,20
analytic_multi,870,≥10%,0.05,0.02,4→2→3→1,13
analytic_multi,877,5–<10%,0.0,0.02,1→2→3→4,1
analytic_multi,877,5–<10%,0.0,0.05,1→2→3→4,1
analytic_multi,877,5–<10%,0.01,0.02,1→2→3→4,20
analytic_multi,877,5–<10%,0.01,0.05,1→2→3→4,20
analytic_multi,877,5–<10%,0.05,0.05,1→2→3→4,18
analytic_multi,877,5–<10%,0.05,0.02,1→2→3→4,7
analytic_multi,884,≥10%,0.0,0.02,4→3→1→2,1
analytic_multi,884,≥10%,0.0,0.05,4→3→1→2,1
analytic_multi,884,≥10%,0.01,0.02,4→3→1→2,20
analytic_multi,884,≥10%,0.01,0.05,4→3→1→2,20
analytic_multi,884,≥10%,0.05,0.05,4→3→1→2,17
analytic_multi,884,≥10%,0.05,0.02,4→3→1→2,8
analytic_multi,888,5–<10%,0.0,0.02,3→1→4→2,1
analytic_multi,888,5–<10%,0.0,0.05,3→1→4→2,1
analytic_multi,888,5–<10%,0.01,0.02,3→1→4→2,20
analytic_multi,888,5–<10%,0.01,0.05,3→1→4→2,20
analytic_multi,888,5–<10%,0.05,0.05,3→1→4→2,19
analytic_multi,888,5–<10%,0.05,0.02,3→1→4→2,12
analytic_multi,896,≥10%,0.0,0.02,3→4→1→2,1
analytic_multi,896,≥10%,0.0,0.05,3→4→1→2,1
analytic_multi,896,≥10%,0.01,0.02,3→4→1→2,20
analytic_multi,896,≥10%,0.01,0.05,3→4→1→2,20
analytic_multi,896,≥10%,0.05,0.05,3→4→1→2,17
analytic_multi,896,≥10%,0.05,0.02,3→4→1→2,8
analytic_multi,899,≥10%,0.0,0.02,4→1→3→2,1
analytic_multi,899,≥10%,0.0,0.05,4→1→3→2,1
analytic_multi,899,≥10%,0.01,0.02,4→1→3→2,20
analytic_multi,899,≥10%,0.01,0.05,4→1→3→2,20
analytic_multi,899,≥10%,0.05,0.02,4→1→3→2,6
analytic_multi,899,≥10%,0.05,0.05,4→1→3→2,15
analytic_multi,904,5–<10%,0.0,0.02,2→4→1→3,1
analytic_multi,904,5–<10%,0.0,0.05,2→4→1→3,1
analytic_multi,904,5–<10%,0.01,0.02,2→4→1→3,19
analytic_multi,904,5–<10%,0.01,0.05,2→4→1→3,20
analytic_multi,904,5–<10%,0.05,0.05,2→4→1→3,13
analytic_multi,904,5–<10%,0.05,0.02,2→4→1→3,6
analytic_multi,912,1–<5%,0.05,0.05,1→2→3→4,1
analytic_multi,931,1–<5%,0.01,0.05,1→4→2→3,6
analytic_multi,931,1–<5%,0.01,0.02,2→3→4→1,3
analytic_multi,931,1–<5%,0.01,0.05,2→3→4→1,13
analytic_multi,931,1–<5%,0.05,0.02,1→4→2→3,3
analytic_multi,931,1–<5%,0.05,0.05,1→4→2→3,6
analytic_multi,931,1–<5%,0.05,0.05,2→3→4→1,12
analytic_multi,931,1–<5%,0.05,0.02,2→3→4→1,8
analytic_multi,938,≥10%,0.0,0.02,1→3→2→4,1
analytic_multi,938,≥10%,0.0,0.05,1→3→2→4,1
analytic_multi,938,≥10%,0.01,0.02,1→3→2→4,20
analytic_multi,938,≥10%,0.01,0.05,1→3→2→4,20
analytic_multi,938,≥10%,0.05,0.05,1→3→2→4,20
analytic_multi,938,≥10%,0.05,0.02,1→3→2→4,12
analytic_multi,944,1–<5%,0.01,0.02,4→2→1→3,2
analytic_multi,944,1–<5%,0.01,0.05,4→2→1→3,2
analytic_multi,944,1–<5%,0.05,0.05,4→2→1→3,5
analytic_multi,944,1–<5%,0.05,0.02,4→2→1→3,2
analytic_multi,946,5–<10%,0.0,0.02,2→1→3→4,1
analytic_multi,946,5–<10%,0.0,0.05,2→1→3→4,1
analytic_multi,946,5–<10%,0.01,0.02,2→1→3→4,20
analytic_multi,946,5–<10%,0.01,0.05,2→1→3→4,20
analytic_multi,946,5–<10%,0.05,0.05,2→1→3→4,20
analytic_multi,946,5–<10%,0.05,0.02,2→1→3→4,19
analytic_multi,967,≥10%,0.0,0.02,3→4→1→2,1
analytic_multi,967,≥10%,0.0,0.05,3→4→1→2,1
analytic_multi,967,≥10%,0.01,0.02,3→4→1→2,20
analytic_multi,967,≥10%,0.01,0.05,3→4→1→2,20
analytic_multi,967,≥10%,0.05,0.02,3→4→1→2,13
analytic_multi,967,≥10%,0.05,0.05,3→4→1→2,20
