method,layout_index,gap_bin,initial_sigma,tolerance,first_visit_order,count
learned_single,896,≥10%,0.01,0.05,3→4→1→2,20
learned_single,896,≥10%,0.05,0.05,3→4→1→2,17
learned_single,896,≥10%,0.05,0.02,3→4→1→2,8
learned_single,899,≥10%,0.0,0.05,4→1→3→2,1
learned_single,899,≥10%,0.01,0.05,4→1→3→2,20
learned_single,899,≥10%,0.05,0.05,4→1→3→2,13
learned_single,904,5–<10%,0.0,0.02,2→4→1→3,1
learned_single,904,5–<10%,0.0,0.05,2→4→1→3,1
learned_single,904,5–<10%,0.01,0.05,2→4→1→3,20
learned_single,904,5–<10%,0.01,0.02,2→4→1→3,18
learned_single,904,5–<10%,0.05,0.05,2→4→1→3,15
learned_single,904,5–<10%,0.05,0.02,2→4→1→3,3
learned_single,912,1–<5%,0.0,0.05,2→3→1→4,1
learned_single,912,1–<5%,0.01,0.05,2→3→1→4,20
learned_single,912,1–<5%,0.01,0.02,2→3→1→4,2
learned_single,912,1–<5%,0.05,0.05,2→3→1→4,14
learned_single,912,1–<5%,0.05,0.02,2→3→1→4,6
learned_single,930,1–<5%,0.05,0.05,4→2→3→1,3
learned_single,931,1–<5%,0.0,0.02,1→4→2→3,1
learned_single,931,1–<5%,0.0,0.05,1→4→2→3,1
learned_single,931,1–<5%,0.01,0.02,1→4→2→3,18
learned_single,931,1–<5%,0.01,0.05,1→4→2→3,20
learned_single,931,1–<5%,0.05,0.02,1→4→2→3,3
learned_single,931,1–<5%,0.05,0.05,1→4→2→3,14
learned_single,938,≥10%,0.0,0.02,1→3→2→4,1
learned_single,938,≥10%,0.0,0.05,1→3→2→4,1
learned_single,938,≥10%,0.01,0.02,1→3→2→4,20
learned_single,938,≥10%,0.01,0.05,1→3→2→4,20
learned_single,938,≥10%,0.05,0.05,1→3→2→4,20
learned_single,938,≥10%,0.05,0.02,1→3→2→4,12
learned_single,939,1–<5%,0.0,0.02,3→2→1→4,1
learned_single,939,1–<5%,0.0,0.05,3→2→1→4,1
learned_single,939,1–<5%,0.01,0.02,3→2→1→4,20
learned_single,939,1–<5%,0.01,0.05,3→2→1→4,20
learned_single,939,1–<5%,0.05,0.02,3→2→1→4,8
learned_single,939,1–<5%,0.05,0.05,3→2→1→4,18
learned_single,944,1–<5%,0.0,0.05,4→2→1→3,1
learned_single,944,1–<5%,0.01,0.05,4→2→1→3,20
learned_single,944,1–<5%,0.05,0.05,4→2→1→3,9
learned_single,946,5–<10%,0.0,0.02,2→1→3→4,1
learned_single,946,5–<10%,0.0,0.05,2→1→3→4,1
learned_single,946,5–<10%,0.01,0.02,2→1→3→4,20
learned_single,946,5–<10%,0.01,0.05,2→1→3→4,20
learned_single,946,5–<10%,0.05,0.05,2→1→3→4,20
learned_single,946,5–<10%,0.05,0.02,2→1→3→4,17
learned_single,950,1–<5%,0.0,0.05,4→2→3→1,1
learned_single,950,1–<5%,0.01,0.05,4→2→3→1,16
learned_single,950,1–<5%,0.05,0.05,4→2→3→1,9
learned_single,954,<1%,0.0,0.02,3→2→4→1,1
learned_single,954,<1%,0.0,0.05,3→2→4→1,1
learned_single,954,<1%,0.01,0.02,3→2→4→1,20
learned_single,954,<1%,0.01,0.05,3→2→4→1,20
learned_single,954,<1%,0.05,0.02,3→2→4→1,14
learned_single,954,<1%,0.05,0.05,3→2→4→1,20
learned_single,967,≥10%,0.0,0.02,3→4→1→2,1
learned_single,967,≥10%,0.0,0.05,3→4→1→2,1
learned_single,967,≥10%,0.01,0.02,3→4→1→2,20
learned_single,967,≥10%,0.01,0.05,3→4→1→2,20
learned_single,967,≥10%,0.05,0.05,3→4→1→2,20
learned_single,967,≥10%,0.05,0.02,3→4→1→2,7
